ID der Marktlokation / Tranche;Meldepunkttyp;Sparte;Spannungsebene der MaLo;Druckebene;Ausspeisung / Einspeisung (Lieferrichtung);Messtechnische Einordnung der Marktlokation;Wahlrecht des Bilanzierungsverfahrens;Messwertübermittlungsfall der MALO;Gruppenzuordnung nach ENWG/Fallgruppenzuordnung nach Gabi Gas ;Gruppenzuuordnung nach GABI;Gasqualität;Art der erzeugenden Marktlokation;Status der erzeugenden Marktlokation;Land der Förderung;Status der Fernsteuerbarkeit;Lieferanschrift Straße (vollständig) ;Lieferanschrift Hausnummer incl. Zusatz;Lieferanschrift Ortsteil;Lieferanschrift Ort;Lieferanschrift PLZ;Verbrauchsstellenhinweis;Bilanzierungsgebiet (Netzgebiet);Temperaturmesstelle;Gemeinderabatt;Geplante Turnusablesung;Abrechnungsmonat;Turnus Abrechnung;Verlustfaktor;Gemessene Maximalleistung in kW;;;
50820012412;;41;N;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
50810954252;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50810945970;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50819970043;;41;N;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
50810945970;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50811290952;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50819843951;;41;N;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
50811290952;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50810657799;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50820032949;;41;N;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
50810657799;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50808488578;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50819842177;;41;N;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
50808488578;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50818791341;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50818791557;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50818791557;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50819842135;;41;N;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
50818791341;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50809050003;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50820096648;;41;N;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
50809050003;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50811686937;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50819845965;;41;N;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
50811686937;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50809677659;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50808076737;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50808076737;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50820034341;;41;N;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
50809677659;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50819842143;;41;N;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
50819606052;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50819606052;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50819605947;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50819605947;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50808595125;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50808595125;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50807193079;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50820044712;;41;N;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
50808595125;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50808595125;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50810471248;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50810471248;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50812598058;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50820036339;;41;N;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
50810471248;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50810471248;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51542536392;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51542536409;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51542536409;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50820024269;;41;N;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
51542536392;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50808630864;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50805343238;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50805343238;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50820002752;;41;N;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
50809546987;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50809522185;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50809522185;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50820001324;;41;N;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
50820017850;;41;N;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
50807298291;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50807298291;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50806361974;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
