Meldepunktbez_Gers;Serialnummer;Bglbgungsjahr;Nächst_WechsJhr;Einbaudatum;Merkmal Zählertyp;Energierichtung;Messwerterfassung;Fernschaltung der Zähleinrichtung;Tarifanzahl;ILN_Messst__betr_;LKZ
DE0071947684600000000000000001070;1EMH0007253000;2017;2025;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000000300;1ISK0069849251;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000002755;1EMH0007845822;2018;2026;01.01.2023;;ZRZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000001354;1ISK0071275646;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000000585;1ISK0071624180;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000002612;000000190000140662;2012;2024;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000002329;1EMH0008342967;2019;2027;01.01.2023;;ZRZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000001457;1ISK0069849102;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000000138;1ISK0071621884;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000000672;1ISK0071621994;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000002407;1EMH0008342861;2019;2027;01.01.2023;;ZRZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000002006;1ISK0071273567;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000000402;1EMH0007303244;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000001406;1ISK0069849042;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000000830;1ISK0071275790;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000000455;1ISK0072057170;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000000137;1ISK0071621966;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000001486;1ISK0071624076;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000000782;1ISK0069849013;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000001598;1EMH0007253175;2017;2025;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000000456;1ISK0072057147;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000001724;1ISK0072057259;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000000836;1ISK0071275041;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000001894;1EMH0008342855;2019;2027;01.01.2023;;ZRZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000001442;1ISK0069849288;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000000298;1ISK0069849154;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000000410;000000190000195293;2014;2030;01.01.2023;;ERZ;MMR;Z07;ZTZ;ILN_MSB_HAU;
DE0071947684600000000000000002072;1ISK0072057236;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000000913;1EMH0008090542;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000002938;1EMH0008343004;2019;2027;01.01.2023;;ZRZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000002784;1ISK0069849202;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000002148;1ISK0071275793;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000002584;1EMH0007845497;2018;2026;01.01.2023;;ZRZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000000771;1EMH0007302429;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000000024;1EMH0011108522;2021;2029;01.01.2023;;ZRZ;AMR;Z07;ZTZ;ILN_MSB_HAU;
DE0071947684600000000000000000793;1ISK0072057266;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000002676;1EMH0007845786;2018;2026;01.01.2023;;ZRZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000002751;1EMH0007845809;2018;2026;01.01.2023;;ZRZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000001987;1ISK0071621947;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000002425;1EMH0007303245;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0003967684600000000000053020971;1EMH0006533443;2017;2025;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000001884;1ISK0071624132;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000001503;1ISK0071621938;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000000858;1ISK0071275035;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000000221;1ISK0072057289;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000000034;1MCS0010078171;2022;2030;01.01.2023;;ZRZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000000495;1EMH0007879019;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000001538;000000190000121309;2012;2024;01.01.2023;;ZRZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000001547;1EMH0011225774;2021;2029;01.01.2023;;ZRZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000000864;1EMH0008342805;2019;2027;01.01.2023;;ZRZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000000714;1EMH0007303460;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000000574;1EMH0008342788;2019;2027;01.01.2023;;ZRZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000000214;1ISK0071624070;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000001804;1ISK0071275036;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000000173;1EMH0008090612;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000002806;000000190000122552;2012;2024;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000001537;1EMH0008090500;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000001824;1ISK0071624081;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000001947;1ISK0069849110;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000000917;1EMH0007303272;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000001593;1ISK0069849085;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000000419;1ISK0069849273;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000002724;1ISK0071624069;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000001234;1ISK0072785804;2019;2027;01.01.2023;;ZRZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000001259;1ISK0072785975;2019;2027;01.01.2023;;ZRZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000002330;1ISK0072786087;2019;2027;01.01.2023;;ZRZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000000167;1ISK0072057130;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000001142;1ISK0071622014;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000000233;1ISK0072057202;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0003967684600000000000053025636;1EMH0007845784;2018;2026;01.01.2023;;ZRZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000000699;1ISK0072785923;2019;2027;01.01.2023;;ZRZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0003967684600000000000053041164;1EMH0011866968;2022;2030;01.01.2023;;ZRZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000001778;000000190000114111;2012;2024;01.01.2023;;ZRZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000000182;1ISK0071624105;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000000551;1ISK0069846718;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000000583;1ISK0071624177;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000000861;1ISK0070698880;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000000877;1ISK0069842329;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000001372;1EMH0007759424;2018;2026;01.01.2023;;ZRZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000000823;1ISK0072786027;2019;2027;01.01.2023;;ZRZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000002475;1ISK0071624116;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000001753;1EMH0008342940;2019;2027;01.01.2023;;ZRZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000001596;1ISK0070698846;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000001958;1ISK0071624151;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000001020;1ISK0072785882;2019;2027;01.01.2023;;ZRZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000002780;000000190000113356;2012;2024;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000001208;1ISK0072786031;2019;2027;01.01.2023;;ZRZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000001986;1ISK0069849086;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000001327;1ISK0071273572;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000001203;1ISK0072786033;2019;2027;01.01.2023;;ZRZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000000974;1ISK0069849205;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000001794;1EMH0007759423;2018;2026;01.01.2023;;ZRZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000000610;1ISK0072461055;2019;2027;01.01.2023;;ZRZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000001150;1ISK0071621898;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000001043;1EMH0008090481;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000002568;000000000023018875;2009;2025;01.01.2023;;ERZ;MMR;Z07;ETZ;ILN_MSB_HAU;
DE0071947684600000000000000001086;1ISK0069849217;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000000544;1ISK0071622694;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000000364;1ISK0069849310;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000002907;1EMH0007759431;2018;2026;01.01.2023;;ZRZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000000734;1ISK0072785914;2019;2027;01.01.2023;;ZRZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000002226;1ISK0068447893;2017;2025;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000001343;1ISK0072786085;2019;2027;01.01.2023;;ZRZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000002024;1ISK0071624148;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000000852;1EMH0008342839;2019;2027;01.01.2023;;ZRZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000001422;1ISK0069849170;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000001458;1ISK0069849291;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000002139;1ISK0071622016;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000001125;1ISK0071622007;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000002808;1EMH0008090503;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000001911;1ISK0071622023;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000001375;1ISK0072057216;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000001463;1ISK0069849033;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000000640;1ISK0072785980;2019;2027;01.01.2023;;ZRZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0003967684600000000000053034415;1EMH0009863866;2020;2028;01.01.2023;;ZRZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000001803;1EMH0008342973;2019;2027;01.01.2023;;ZRZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000000366;1ISK0069849308;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0003967684600000000000053025211;001020100002732807;2017;2033;01.01.2023;;ERZ;MMR;Z07;ETZ;ILN_MSB_HAU;
DE0071947684600000000000000001627;1ISK0071624124;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000001320;1ISK0072786010;2019;2027;01.01.2023;;ZRZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000001016;1ISK0072785875;2019;2027;01.01.2023;;ZRZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000001235;1ISK0072785806;2019;2027;01.01.2023;;ZRZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000001297;1ISK0072057241;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000002132;1ISK0069849066;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000000020;000000190000125238;2022;2030;01.01.2023;;ZRZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000000231;1ISK0072057286;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000001711;1ISK0072786096;2019;2027;01.01.2023;;ZRZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000002244;1ISK0072057132;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000001773;1EMH0008090585;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000001298;1ISK0072057242;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000001476;1ISK0072057123;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000000139;1EMH0007302406;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000002314;1EMH0008090532;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000000638;1EMH0007303262;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000001190;1ISK0072786065;2019;2027;01.01.2023;;ZRZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000000896;1ISK0072057141;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000002545;1EMH0008342915;2019;2027;01.01.2023;;ZRZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000000658;1EMH0008342954;2019;2027;01.01.2023;;ZRZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000000869;1EMH0008342853;2019;2027;01.01.2023;;ZRZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000002102;1ISK0072785990;2019;2027;01.01.2023;;ZRZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000001008;1EMH0008342955;2019;2027;01.01.2023;;ZRZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000000878;1ISK0072057246;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000001381;1EMH0008090502;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000001367;1ISK0071621921;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000000314;1ISK0069849133;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000002885;1ISK0071621847;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000002902;1HAG1000294142;2014;2026;01.01.2023;;ZRZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000001229;1EMH0007252977;2017;2025;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000002234;1ISK0072785878;2019;2027;01.01.2023;;ZRZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0003967684600000000000053019810;1EMH0007414095;2018;2026;01.01.2023;;ZRZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000000493;1ISK0072785849;2019;2027;01.01.2023;;ZRZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000000561;1ISK0071622714;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000000764;1ISK0071621870;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000001196;1ISK0072786074;2019;2027;01.01.2023;;ZRZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000001154;1HAG1000325054;2015;2023;01.01.2023;;ZRZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000000678;1ISK0071621992;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000001351;1ISK0071621942;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000001050;1EMH0008090494;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000000750;1ISK0071621891;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000001441;1ISK0069849037;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000000198;1ISK0071624074;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000001288;1ISK0071624053;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000002021;1ISK0072786068;2019;2027;01.01.2023;;ZRZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000000912;1EMH0008090541;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000002249;1ISK0074379589;0;0;01.01.2023;;ZRZ;AMR;Z07;ZTZ;ILN_MSB_HAU;
DE0071947684600000000000000000821;1ISK0070698865;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000000425;1EMH0006428410;2017;2025;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000000900;1ISK0072057138;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000002120;1ISK0072786059;2019;2027;01.01.2023;;ZRZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000001174;1ISK0071624395;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000001115;1EMH0007253228;2017;2025;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000000398;1ISK0071621880;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000002849;1ISK0071621926;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000000179;1EMH0008090614;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000000847;1EMH0008342810;2019;2027;01.01.2023;;ZRZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000000112;1ISK0072786073;2019;2027;01.01.2023;;ZRZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000002084;1ISK0072057181;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000002011;1ISK0069849249;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000000976;1EMH0009008640;2019;2027;01.01.2023;;ZRZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000001706;1ISK0072786092;2019;2027;01.01.2023;;ZRZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000000333;1ISK0069845709;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000000552;1ISK0071275647;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000000886;1EMH0008342968;2019;2027;01.01.2023;;ZRZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000000389;1ISK0071273566;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
