MALO_TRANCHE;MELO;MALOzurTRANCHE;NELO
;DE0004448182700000000000090313428;;E0050123217
;DE0004448099500000000000091190954;;E0050167215
;DE0004448124700000000000090761242;;E0050167223
;DE0072488137700000000000091227135;;E0050167249
;DE0004448124500000000000090821204;;E0050165243
;DE0072488099700000000000091241960;;E0051165242
;DE0004448124900000000000090795408;;E0051165250
;DE0072488093900000000000080247234;;E0051165268
;DE0072488192900000000000091549998;;E0051165276
;DE0004448167300000000000090273772;;E0051165284
;DE0004448068900000000000090765307;;E0051165292
;DE0004448124900000000000090789863;;E0051165300
